,movie_name,imdb_id,cast,direction,production_companies,movie_budget,movie_revenue
12,Shazam! Fury of the Gods,tt10151854,"{'Zachary Levi': 'Shazam', 'Asher Angel': 'Billy Batson', 'Jack Dylan Grazer': 'Freddy Freeman', 'Rachel Zegler': 'Anthea', 'Adam Brody': 'Super Hero Freddy', 'Ross Butler': 'Super Hero Eugene', 'D.J. Cotrona': 'Super Hero Pedro', 'Grace Caroline Currey': 'Mary Bromfield / Super Hero Mary', 'Meagan Good': 'Super Hero Darla', 'Lucy Liu': 'Kalypso', 'Djimon Hounsou': 'Wizard', 'Helen Mirren': 'Hespera', 'Faithe Herman': 'Darla Dudley', 'Ian Chen': 'Eugene Choi', 'Marta Milans': 'Rosa Vasquez', 'Cooper Andrews': 'Victor Vasquez', 'Rizwan Manji': 'Docent', 'P.J. Byrne': 'Dr. Dario Bava', 'Diedrich Bader': 'Mr. Geckle', 'David Lengel': 'Museum Security Guard', 'Lotta Losten': 'Nurse in Need of a Hero', 'Natalia Safran': 'Driver with Kittens', 'Evan Marsh': 'Burke Breyer', 'Michael Beasley': 'Colonel Cheesesteak', 'Gal Gadot': 'Diana Prince / Wonder Woman (uncredited)', 'Jennifer Holland': 'Emilia Harcourt (uncredited)', 'Steve Agee': 'John Economos (uncredited)', 'Mark Strong': 'Doctor Thaddeus Sivana (uncredited)'}",['David F. Sandberg'],"['New Line Cinema', 'The Safran Company', 'DC Films']",125000000,133838006
15,The Batman,tt1877830,"{'Robert Pattinson': 'Bruce Wayne / The Batman', 'Zoë Kravitz': 'Selina Kyle / Catwoman', 'Paul Dano': 'Edward Nashton / The Riddler', 'Jeffrey Wright': 'Lt. James Gordon', 'John Turturro': 'Carmine Falcone', 'Peter Sarsgaard': 'District Attorney Gil Colson', 'Andy Serkis': 'Alfred Pennyworth', 'Colin Farrell': ""Oswald 'Oz' Cobblepot / The Penguin"", 'Jayme Lawson': 'Bella Reál', 'Peter McDonald': 'Kenzie', ""Con O'Neill"": 'Chief Mackenzie Bock', 'Alex Ferns': 'Commissioner Pete Savage', 'Rupert Penry-Jones': 'Mayor Don Mitchell, Jr.', 'Barry Keoghan': 'Unseen Arkham Prisoner', 'Luke Roberts': 'Thomas Wayne', 'Oscar Novak': 'Young Bruce Wayne', 'Sandra Dickinson': 'Dory', 'Joseph Balderrama': 'Lead Detective', 'Mark Killeen': 'Vinnie', 'Elliot Warren': 'Train Gang Leader', 'Bronson Webb': 'Hooded Gunman', 'Pat Battle': 'Newscaster'}",['Matt Reeves'],"['6th & Idaho', 'Dylan Clark Productions', 'DC Films', 'Warner Bros. Pictures']",185000000,770945583
16,Black Panther: Wakanda Forever,tt9114286,"{'Letitia Wright': 'Shuri / Black Panther', ""Lupita Nyong'o"": 'Nakia', 'Danai Gurira': 'Okoye', 'Dominique Thorne': 'Riri Williams / Ironheart', 'Tenoch Huerta Mejía': 'Namor', 'Angela Bassett': 'Ramonda', 'Mabel Cadena': 'Namora', 'Lake Bell': 'Dr. Graham', 'Robert John Burke': 'Smitty', 'Danny Sapani': 'Border Tribe Elder', 'Martin Freeman': 'Everett Ross', 'Julia Louis-Dreyfus': 'Valentina Allegra de Fontaine', 'Richard Schiff': 'U.S. Secretary of State', 'Michael B. Jordan': ""N'Jadaka / Erik 'Killmonger' Stevens"", 'Shawn Roberts': 'WDG Scientist', 'Anderson Cooper': 'Anderson Cooper', 'Sal Lopez': 'Yucatan Elder', 'Juan Carlos Cantu': 'Friar', 'Chadwick Boseman': ""T'Challa / Black Panther (archive footage) (uncredited)""}",['Ryan Coogler'],['Marvel Studios'],250000000,859102154
17,Black Adam,tt6443346,"{'Dwayne Johnson': 'Black Adam / Teth Adam', 'Aldis Hodge': 'Hawkman / Carter Hall', 'Noah Centineo': 'Atom Smasher / Al Rothstein', 'Sarah Shahi': 'Adrianna Tomaz', 'Quintessa Swindell': 'Cyclone / Maxine Hunkel', 'Marwan Kenzari': 'Ishmael / Sabbac / King Ahk-Ton', 'Bodhi Sabongui': 'Amon Tomaz', 'Pierce Brosnan': 'Dr. Fate / Kent Nelson', 'Benjamin Patterson': 'Skinny Teth Adam', 'Jennifer Holland': 'Emilia Harcourt', 'Henry Winkler': 'Uncle Al', 'Djimon Hounsou': 'Wizard', 'Patrick Sabongui': 'Rami', 'Joseph Gatt': 'Intergang Squad Leader', 'Derek Russo': 'Squad Mercenary #2', 'Viola Davis': 'Amanda Waller (uncredited)', 'Henry Cavill': 'Clark Kent / Superman (uncredited)', 'Natalie Burn': 'Revolutionary Mercenary #1 (uncredited)'}",['Jaume Collet-Serra'],"['New Line Cinema', 'Flynn Picture Company', 'DC Films', 'Seven Bucks Productions']",200000000,393252111
18,Venom: Let There Be Carnage,tt7097896,"{'Tom Hardy': 'Eddie Brock / Venom', 'Woody Harrelson': 'Cletus Kasady / Carnage', 'Michelle Williams': 'Anne Weying', 'Naomie Harris': 'Frances Louise Barrison / Shriek', 'Reid Scott': 'Dr. Dan Lewis', 'Stephen Graham': 'Detective Mulligan', 'Peggy Lu': 'Mrs. Chen', 'Jack Bandeira': 'Young Cletus', 'Scroobius Pip': 'Siegfried', 'Christopher Godwin': 'Headmaster (1997)', 'Reece Shearsmith': 'Priest', 'J.K. Simmons': 'J. Jonah Jameson (uncredited)', 'Tom Holland': 'Peter Parker / Spider-Man (uncredited)'}",['Andy Serkis'],"['Marvel Entertainment', 'Columbia Pictures', 'Pascal Pictures', 'Matt Tolmach Productions', 'Arad Productions']",110000000,506863592
19,The Avengers,tt0848228,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Chris Evans': 'Steve Rogers / Captain America', 'Mark Ruffalo': 'Bruce Banner / The Hulk', 'Chris Hemsworth': 'Thor Odinson', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Jeremy Renner': 'Clint Barton / Hawkeye', 'Tom Hiddleston': 'Loki', 'Samuel L. Jackson': 'Nick Fury', 'Cobie Smulders': 'Agent Maria Hill', 'Clark Gregg': 'Agent Phil Coulson', 'Stellan Skarsgård': 'Erik Selvig', 'Gwyneth Paltrow': ""Virginia 'Pepper' Potts"", 'Paul Bettany': 'Jarvis (voice)', 'Alexis Denisof': 'The Other', 'Jerzy Skolimowski': 'Georgi Luchkov', 'Jeff Wolfe': 'Tall Thug', 'Powers Boothe': 'World Security Council', 'Jenny Agutter': 'World Security Council', 'Donald Li': 'World Security Council', 'Warren Kole': 'Carrier Bridge Tech', 'Jesse Garcia': 'Carrier Bridge Techs', 'Kenneth Tigar': 'German Old Man', 'Harry Dean Stanton': 'Security Guard', 'Ashley Johnson': 'Waitress', 'Robert Clohessy': 'Police Sergeant', 'Enver Gjokaj': 'Young Cop', 'Jamie McShane': 'Celebration Montage Interviewee', 'Romy Rosemont': 'Shawna Lynde', 'James Eckhouse': 'Senator Boynton', 'Stan Lee': 'Stan Lee', 'Lou Ferrigno': 'The Hulk (voice) (uncredited)', 'Martin Palmer': 'Shiel Employee (uncredited)'}",['Joss Whedon'],['Marvel Studios'],220000000,1518815515
20,Avengers: Endgame,tt4154796,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Chris Evans': 'Steve Rogers / Captain America', 'Mark Ruffalo': 'Bruce Banner / Hulk', 'Chris Hemsworth': 'Thor Odinson', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Jeremy Renner': 'Clint Barton / Hawkeye', 'Don Cheadle': 'James Rhodes / War Machine', 'Paul Rudd': 'Scott Lang / Ant-Man', 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange', 'Chadwick Boseman': ""T'Challa / Black Panther"", 'Brie Larson': 'Carol Danvers / Captain Marvel', 'Tom Holland': 'Peter Parker / Spider-Man', 'Karen Gillan': 'Nebula', 'Zoe Saldaña': 'Gamora', 'Evangeline Lilly': 'Hope Van Dyne / Wasp', 'Tessa Thompson': 'Valkyrie', 'Rene Russo': 'Frigga', 'Elizabeth Olsen': 'Wanda Maximoff / Scarlet Witch', 'Anthony Mackie': 'Sam Wilson / Falcon', 'Sebastian Stan': 'Bucky Barnes / Winter Soldier', 'Tom Hiddleston': 'Loki', 'Danai Gurira': 'Okoye', 'Benedict Wong': 'Wong', 'Pom Klementieff': 'Mantis', 'Dave Bautista': 'Drax', 'Letitia Wright': 'Shuri', 'John Slattery': 'Howard Stark', 'Tilda Swinton': 'The Ancient One', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Hayley Atwell': 'Peggy Carter', 'Natalie Portman': 'Jane Foster', 'Marisa Tomei': 'Aunt May', 'Taika Waititi': 'Korg (voice)', 'Angela Bassett': 'Ramonda', 'Michael Douglas': 'Dr. Hank Pym', 'Michelle Pfeiffer': 'Janet Van Dyne', 'William Hurt': ""Secretary of State Thaddeus 'Thunderbolt' Ross"", 'Cobie Smulders': 'Maria Hill', 'Sean Gunn': 'On-Set Rocket / Kraglin', 'Linda Cardellini': 'Laura Barton', 'Frank Grillo': 'Brock Rumlow', 'Hiroyuki Sanada': 'Akihiko', ""James D'Arcy"": 'Jarvis', 'Jacob Batalon': 'Ned', 'Vin Diesel': 'Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Gwyneth Paltrow': 'Pepper Potts', 'Robert Redford': 'Alexander Pierce', 'Josh Brolin': 'Thanos', 'Chris Pratt': 'Peter Quill / Star-Lord', 'Samuel L. Jackson': 'Nick Fury', 'Lexi Rabe': 'Morgan Stark', 'Ross Marquand': 'Johann Schmidt / Red Skull (Stonekeeper)', 'Joe Russo': 'Grieving Man', 'Emma Fuhrmann': 'Cassie Lang', 'Terry Notary': 'On-Set Groot / Cull Obsidian', 'Kerry Condon': 'Friday (voice)', 'Ava Russo': 'Lila Barton', 'Stan Lee': 'Driver', 'Yvette Nicole Brown': 'S.H.I.E.L.D. Agent', 'Callan Mulvey': 'Jack Rollins', 'Ken Jeong': 'Security Guard', 'Ty Simpkins': 'Harley Keener', 'Jackson A. Dunn': 'Scott Lang (12 Y.O.)', 'Monique Ganderton': 'On-Set Proxima Midnight', 'Jim Starlin': 'Support Group Man #1', 'Russell Bobbitt': 'Diner Owner', 'Jack Champion': 'Kid on Bike', 'Sam Hargrave': 'New Asgard Truck Driver', 'Tom Wisdom': 'Loki Reader', 'John Posey': 'Alexander Pierce Reader'}","['Anthony Russo', 'Joe Russo']",['Marvel Studios'],356000000,2800000000
21,Shang-Chi and the Legend of the Ten Rings,tt9376612,"{'Simu Liu': 'Shaun / Shang-Chi', 'Awkwafina': 'Katy Chen', ""Zhang Meng'er"": 'Xu Xialing', 'Fala Chen': 'Ying Li', 'Florian Munteanu': 'Razor Fist', 'Benedict Wong': 'Wong', 'Yuen Wah': 'Master Guang Bo', 'Michelle Yeoh': 'Ying Nan', 'Ben Kingsley': 'Trevor Slattery', 'Tony Leung Chiu-wai': 'Xu Wenwu / The Mandarin', 'Andy Le': 'Li Ching-Lin / Death Dealer', 'Stephanie Hsu': 'Soo', 'Jodi Long': 'Mrs. Chen', 'Dallas Liu': 'Ruihua', 'Ronny Chieng': 'Jon Jon', 'Zach Cherry': 'Clev', 'Dee Bradley Baker': 'Morris (voice)', 'Tim Roth': 'Emil Blonsky / Abomination (voice) (uncredited)', 'Mark Ruffalo': 'Bruce Banner / Hulk (uncredited)', 'Brie Larson': 'Carol Danvers / Captain Marvel (uncredited)'}",['Destin Daniel Cretton'],['Marvel Studios'],150000000,432243292
22,Doctor Strange in the Multiverse of Madness,tt9419884,"{'Benedict Cumberbatch': 'Dr. Stephen Strange / Sinister Strange / Defender Strange', 'Elizabeth Olsen': 'Wanda Maximoff / The Scarlet Witch', 'Chiwetel Ejiofor': 'Baron Karl Mordo', 'Benedict Wong': 'Wong', 'Xochitl Gomez': 'America Chavez', 'Jett Klyne': 'Tommy Maximoff', 'Julian Hilliard': 'Billy Maximoff', 'Sheila Atim': 'Sara', 'Michael Stuhlbarg': ""Dr. Nicodemus 'Nic' West"", 'Rachel McAdams': 'Dr. Christine Palmer', 'Hayley Atwell': 'Peggy Carter / Captain Carter', 'Anson Mount': 'Blackagar Boltagon / Black Bolt', 'Lashana Lynch': 'Maria Rambeau / Captain Marvel', 'John Krasinski': 'Reed Richards / Mr. Fantastic', 'Patrick Stewart': 'Professor Charles Xavier / Professor X', 'Charlize Theron': 'Clea', 'Bruce Campbell': 'Pizza Poppa', 'Ross Marquand': 'Ultron (voice)', 'Jordan Alexandra': 'Office Worker', 'Michael Waldron': ""Charlie's Best Man"", 'Bridget Hoffman': 'Soul of the Damned (voice)', 'Andrew Morgado': 'Soul of the Damned (voice)', 'Audrey Wasilewski': 'Soul of the Damned (voice)'}",['Sam Raimi'],"['Marvel Studios', 'Kevin Feige Productions']",200000000,955775804
23,Spider-Man: Into the Spider-Verse,tt4633694,"{'Shameik Moore': 'Miles Morales / Spider-Man (voice)', 'Jake Johnson': 'Peter B. Parker / Spider-Man (voice)', 'Hailee Steinfeld': 'Gwen Stacy / Spider-Woman (voice)', 'Mahershala Ali': 'Uncle Aaron / Prowler (voice)', 'Brian Tyree Henry': 'Jefferson Davis (voice)', 'Lily Tomlin': 'Aunt May (voice)', 'Luna Lauren Velez': 'Rio Morales (voice)', 'Zoë Kravitz': 'Mary Jane (voice)', 'John Mulaney': 'Peter Porker / Spider-Ham (voice)', 'Kimiko Glenn': 'Peni Parker (voice)', 'Nicolas Cage': 'Peter Parker / Spider-Man Noir (voice)', 'Kathryn Hahn': ""Olivia 'Liv' Octavius / Doc Ock (voice)"", 'Liev Schreiber': 'Wilson Fisk / Kingpin (voice)', 'Chris Pine': 'Peter Parker / Spider-Man (voice)', 'Natalie Morales': 'Miss Calleros (voice)', 'Oscar Isaac': 'Interesting Person #1 (voice)', 'Greta Lee': 'Interesting Person #2 (voice)', 'Stan Lee': 'Stan (voice)', 'Jorma Taccone': 'Green Goblin / Last Dude (voice)', 'Joaquín Cosío': 'Scorpion (voice)', ""Marvin 'Krondon' Jones III"": 'Tombstone (voice)', 'Lake Bell': 'Vanessa Fisk (voice)', 'Post Malone': 'Brooklyn Bystander (voice)', 'Darcy Rose Byrnes': 'Additional Voices (voice)', 'June Christopher': 'Additional Voices (voice)', 'Bridget Hoffman': 'Additional Voices (voice)', 'Caitlin McKenna': 'Additional Voices (voice)', 'Scott Menville': 'Additional Voices (voice)', 'Christopher Miller': 'Additional Voices (voice)', 'Jacqueline Pinol': 'Additional Voices (voice)', 'Al Rodrigo': 'Additional Voices (voice)', 'Melissa Sturm': 'Additional Voices (voice)'}","['Rodney Rothman', 'Peter Ramsey', 'Bob Persichetti']","['Columbia Pictures', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures Animation', 'Arad Productions']",90000000,375464627
25,Thor: Love and Thunder,tt10648342,"{'Chris Hemsworth': 'Thor Odinson', 'Natalie Portman': 'Jane Foster / The Mighty Thor', 'Christian Bale': 'Gorr', 'Tessa Thompson': 'King Valkyrie', 'Taika Waititi': 'Korg / Old Kronan God (voice)', 'Jaimie Alexander': 'Sif', 'Russell Crowe': 'Zeus', 'Chris Pratt': 'Peter Quill / Star-Lord', 'Karen Gillan': 'Nebula', 'Dave Bautista': 'Drax', 'Pom Klementieff': 'Mantis', 'Sean Gunn': 'Kraglin / On-Set Rocket', 'Vin Diesel': 'Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Idris Elba': 'Heimdall', 'Kat Dennings': 'Darcy Lewis', 'Brett Goldstein': 'Hercules', 'Stellan Skarsgård': 'Erik Selvig', 'Luke Hemsworth': 'Actor Thor', 'Matt Damon': 'Actor Loki', 'Sam Neill': 'Actor Odin', 'Melissa McCarthy': 'Actor Hela', 'Ben Falcone': 'Asgardian Stage Manager', 'Simon Russell Beale': 'Dionysus', 'Brooke Satchwell': 'Indigarrian Woman Glenda', 'Elsa Pataky': 'Wolf Woman', 'Priscilla Doueihy': 'Artemis God', 'Indiana Evans': 'Zeusette', 'Ben Sinclair': 'Science Friend', 'Zachary Levi': 'Fandral (archive footage) (uncredited)', 'Ray Stevenson': 'Volstagg (archive footage) (uncredited)', 'Tadanobu Asano': 'Hogun (archive footage) (uncredited)', 'Tom Hiddleston': 'Loki (archive footage) (uncredited)'}",['Taika Waititi'],"['Marvel Studios', 'Kevin Feige Productions']",250000000,760928081
28,The Suicide Squad,tt6334354,"{'Margot Robbie': 'Harleen Quinzel / Harley Quinn', 'Idris Elba': 'Robert DuBois / Bloodsport', 'John Cena': 'Christopher Smith / Peacemaker', 'Joel Kinnaman': 'Colonel Rick Flag', 'Sylvester Stallone': 'Nanaue / King Shark (voice)', 'Viola Davis': 'Amanda Waller', 'David Dastmalchian': 'Abner Krill / Polka-Dot Man', 'Daniela Melchior': 'Cleo Cazo / Ratcatcher 2', 'Michael Rooker': 'Brian Durlin / Savant', 'Jai Courtney': ""George 'Digger' Harkness / Captain Boomerang"", 'Peter Capaldi': 'Gaius Grieves / The Thinker', 'Alice Braga': 'Sol Soria', 'Pete Davidson': 'Richard Hertz / Blackguard', 'Joaquín Cosío': 'Mayor General Mateo Suarez', 'Juan Diego Botto': 'Presidente General Silvio Luna', 'Storm Reid': 'Tyla DuBois', 'Nathan Fillion': 'Cory Pitzner / T.D.K.', 'Taika Waititi': 'Ratcatcher', 'Steve Agee': 'John Economos / On-Set King Shark', 'Sean Gunn': 'Weasel / Calendar Man', 'Flula Borg': 'Gunter Braun / Javelin', 'Stephen Blackehart': 'Briscoe', 'Jennifer Holland': 'Emilia Harcourt', 'Dee Bradley Baker': 'Sebastian (voice)', 'Natalia Safran': 'Kaleidoscope', 'Josh Ventura': 'Astronaut', 'Mikaela Hoover': 'Camila', 'Lynne Ashe': ""Polka-Dot Man's Mom"", 'Maya Le Clark': 'Young Cleo', 'Randy Havens': 'Star-Crossed Man', 'Diany Rodriguez': 'Star-Crossed Gal', 'Lloyd Kaufman': 'Dancing La Gatita Bar Patron (uncredited)', 'Pom Klementieff': 'La Gatita Amable Dancer (uncredited)'}",['James Gunn'],"['DC Films', 'Atlas Entertainment', 'The Safran Company', 'Warner Bros. Pictures']",185000000,168717425
29,Bloodshot,tt1634106,"{'Vin Diesel': 'Ray Garrison / Bloodshot', 'Eiza González': 'KT', 'Sam Heughan': 'Jimmy Dalton', 'Toby Kebbell': 'Martin Axe', 'Talulah Riley': 'Gina Garrison', 'Guy Pearce': 'Dr. Emil Harting', 'Jóhannes Haukur Jóhannesson': 'Nick Baris', 'Tamer Burjaq': 'Mombasa Gunman'}",['Dave Wilson'],"['Cross Creek Pictures', 'Mimran Schur Pictures', 'Original Film', 'The Hideaway Entertainment', 'Valiant Entertainment', 'Columbia Pictures', 'One Race', 'Bona Film Group', 'Mid Atlantic Films']",42000000,39861118
30,Spider-Man,tt0145487,"{'Tobey Maguire': 'Spider-Man / Peter Parker', 'Willem Dafoe': 'Green Goblin / Norman Osborn', 'Kirsten Dunst': 'Mary Jane Watson', 'James Franco': 'Harry Osborn', 'Cliff Robertson': 'Ben Parker', 'Rosemary Harris': 'May Parker', 'J.K. Simmons': 'J. Jonah Jameson', 'Joe Manganiello': 'Flash Thompson', 'Bill Nunn': ""Joseph 'Robbie' Robertson"", 'Jack Betts': 'Henry Balkan', 'Ron Perkins': 'Dr. Mendel Stromm', 'Michael Papajohn': 'Carjacker', 'K.K. Dodds': 'Simkins', 'Ted Raimi': 'Hoffman', 'Bruce Campbell': 'Ring Announcer', 'Elizabeth Banks': 'Miss Brant', 'Larry Joshua': 'Wrestling Promoter', 'Evan Arnold': 'Doctor', 'Octavia Spencer': 'Check-In Girl', 'Macy Gray': 'Macy Gray', 'Sara Ramirez': 'Cop at Carjacking', 'Lucy Lawless': 'Punk Rock Girl', 'Robert Kerman': 'Tugboat Captain', 'Stan Lee': 'Man in Fair (uncredited)', 'Una Damon': 'Lab Tour Guide (uncredited)', 'Chris Coppola': 'Kyle (uncredited)', 'Benny Urquidez': 'Mugger (uncredited)', 'Sam Raimi': 'Popcorn Thrower (uncredited)'}",['Sam Raimi'],"['Marvel Enterprises', 'Laura Ziskin Productions', 'Columbia Pictures']",139000000,821708551
31,Star Wars,tt0076759,"{'Mark Hamill': 'Luke Skywalker', 'Harrison Ford': 'Han Solo', 'Carrie Fisher': 'Princess Leia Organa', 'Peter Cushing': 'Grand Moff Tarkin', 'Alec Guinness': 'Obi-Wan ""Ben"" Kenobi', 'Anthony Daniels': 'C-3PO', 'Peter Mayhew': 'Chewbacca', 'James Earl Jones': 'Darth Vader (voice)', 'Shelagh Fraser': 'Aunt Beru', 'Denis Lawson': 'Red Two (Wedge Antilles)', 'Jeremy Sinden': 'Gold Two', 'Peter Diamond': 'Stormtrooper / Tusken Raider / Death Star Trooper / Garouf Lafoe (uncredited)', 'Joe Johnston': 'Death Star Trooper (uncredited)', 'Phil Tippett': 'Cantina Alien (uncredited)', 'Bill Weston': 'Stormtrooper (uncredited)', 'Colin Higgins': 'Rebel Pilot, Col. Takbright (uncredited)'}",['George Lucas'],"['Lucasfilm Ltd.', '20th Century Fox']",11000000,775398007
32,The Dark Knight,tt0468569,"{'Christian Bale': 'Bruce Wayne / Batman', 'Heath Ledger': 'Joker', 'Michael Caine': 'Alfred Pennyworth', 'Gary Oldman': 'James Gordon', 'Aaron Eckhart': 'Harvey Dent / Two-Face', 'Maggie Gyllenhaal': 'Rachel Dawes', 'Morgan Freeman': 'Lucius Fox', 'Nestor Carbonell': 'Anthony Garcia', 'Chin Han': 'Lau', 'Eric Roberts': 'Sal Maroni', 'Ritchie Coster': 'Chechen', 'Anthony Michael Hall': 'Mike Engel', 'Keith Szarabajka': 'Gerard Stephens', 'Melinda McGraw': 'Barbara Gordon', 'Nathan Gamble': 'James Gordon Jr.', 'Michael Jai White': 'Gambol', 'Tommy Lister Jr.': 'Tattooed Prisoner', 'William Fichtner': 'Bank Manager', 'Cillian Murphy': 'Jonathan Crane / Scarecrow', 'David Dastmalchian': 'Thomas Schiff', 'Beatrice Rosen': 'Natascha', 'Edison Chen': 'LSI VP', 'Paul Birchard': 'Cop with Fat Thug', 'Vincent Riotta': 'Cop at 250 52nd St.', 'Nancy Crane': 'Nurse', 'Andrew Bicknell': 'Prison Ferry Pilot', 'Ariyon Bakare': 'Guard Commander', 'Craig Heaney': 'Passenger', 'Lisa McAllister': 'Passenger', 'Matthew Leitch': 'Prisoner on Ferry', 'William Armstrong': 'Evans', 'Tristan Tait': 'Uniform Cop', 'Bronson Webb': 'Bounty Hunter', 'Ian Pirie': 'Corrections Officer', 'Nicky Katt': 'Shotgun SWAT (uncredited)', 'Tim Krueger': 'Assistant D.A. (uncredited)'}",['Christopher Nolan'],"['DC Comics', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']",185000000,1004558444
33,Big Hero 6,tt2245084,"{'Ryan Potter': 'Hiro Hamada (voice)', 'Daniel Henney': 'Tadashi Hamada (voice)', 'T.J. Miller': 'Fred (voice)', 'Jamie Chung': 'GoGo Tomago (voice)', 'Damon Wayans Jr.': 'Wasabi (voice)', 'Génesis Rodríguez': 'Honey Lemon (voice)', 'James Cromwell': 'Professor Robert Callaghan (voice)', 'Alan Tudyk': 'Alistair Krei (voice)', 'Maya Rudolph': 'Aunt Cass (voice)', 'Abraham Benrubi': 'General (voice)', 'Katie Lowes': 'Abigail (voice)', 'Charlie Adler': 'Yokai (voice)', 'Cam Clarke': 'Additional Voice (voice)', 'Yuri Lowenthal': 'Additional Voice (voice)', 'Stan Lee': ""Fred's Dad (voice)"", 'Frank Welker': 'Mochi (voice) (uncredited)', 'Bridget Hoffman': 'Additional Voice (voice)', 'June Christopher': 'Additional Voices (voice)'}","['Chris Williams', 'Don Hall']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",165000000,657827828
34,Venom,tt1270797,"{'Tom Hardy': 'Eddie Brock / Venom', 'Michelle Williams': 'Anne Weying', 'Riz Ahmed': 'Carlton Drake / Riot', 'Scott Haze': 'Security Chief Roland Treece', 'Reid Scott': 'Dr. Dan Lewis', 'Jenny Slate': 'Dr. Dora Skirth', 'Melora Walters': 'Homeless Woman Maria', 'Woody Harrelson': 'Cletus Kasady / Carnage', 'Peggy Lu': 'Mrs. Chen', 'Michelle Lee': 'Malaysia EMT / Riot Host', 'Kurt Yue': 'Mission Control Translator', ""Chris O'Hara"": 'Astronaut J. J. Jameson III', 'Emilio Rivera': 'Lobby Guard Richard', 'Roger Yuan': 'Village Eel Shop Owner', 'Mac Brandt': 'Jack the Bartender', 'Selena Anduze': 'Bistro Manager', 'Martin Bats Bradford': 'Jacob / Blue Host', 'Stan Lee': 'Dapper Dog Walker', 'Wade Williams': 'Prison Guard', 'Christian Convery': 'Joey - 8 Year Old Boy (uncredited)'}",['Ruben Fleischer'],"['Matt Tolmach Productions', 'Pascal Pictures', 'Marvel Entertainment', 'Tencent Pictures', 'Arad Productions']",116000000,856085151
35,Eternals,tt9032400,"{'Gemma Chan': 'Sersi', 'Richard Madden': 'Ikaris', 'Angelina Jolie': 'Thena', 'Kumail Nanjiani': 'Kingo', 'Barry Keoghan': 'Druig', 'Lauren Ridloff': 'Makkari', 'Lia McHugh': 'Sprite', 'Brian Tyree Henry': 'Phastos', 'Ma Dong-seok': 'Gilgamesh', 'Salma Hayek Pinault': 'Ajak', 'Kit Harington': 'Dane Whitman', 'Harish Patel': 'Karun', 'Bill Skarsgård': 'Kro (voice)', 'Hannah Dodd': 'Sandra', 'Harry Styles': 'Eros / Starfox', 'Patton Oswalt': 'Pip the Troll (voice)', 'Mahershala Ali': 'Eric Brooks / Blade (voice) (uncredited)'}",['Chloé Zhao'],['Marvel Studios'],200000000,402064899
36,The Amazing Spider-Man,tt0948470,"{'Andrew Garfield': 'Peter Parker / Spider-Man', 'Emma Stone': 'Gwen Stacy', 'Rhys Ifans': 'Dr. Curt Connors / The Lizard', 'Martin Sheen': 'Uncle Ben', 'Sally Field': 'Aunt May', 'Denis Leary': 'Captain Stacy', 'Irrfan Khan': 'Rajit Ratha', 'Max Charles': 'Peter Parker (Age 4)', 'Campbell Scott': 'Richard Parker', 'Embeth Davidtz': 'Mary Parker', 'Chris Zylka': 'Flash Thompson', 'C. Thomas Howell': ""Jack's Father"", 'Hannah Marks': 'Missy Kallenback', 'Kari Coleman': 'Helen Stacy', 'Kelsey Asbille': 'Sally Avril', 'Barbara Eve Harris': 'Miss Ritter', 'Stan Lee': 'School Librarian', 'Keith Campbell': 'Car Thief', 'Steve DeCastro': 'Car Thief Cop', 'Skyler Gisondo': 'Howard Stacy', 'James Chen': 'Police Officer', 'Tia Texada': 'Sheila (Subway)', 'Jennifer Lyons': 'Second Girl (Subway)', 'Michael Massee': 'Man in the Shadows', 'Amber Stevens West': 'Ariel', 'Michael Papajohn': 'Alfie (uncredited)'}",['Marc Webb'],"['Marvel Entertainment', 'Laura Ziskin Productions', 'Columbia Pictures', 'Matt Tolmach Productions', 'Arad Productions']",215000000,757930663
