,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
18,8 September 2022,Xstal,3," CGI Thursday's...
","The Gods of Chore desecrate with poor humour, this must surely be, a Marvel lampooner, while a dark necromancer, a metaphorical cancer, wages war with his shady black tumours. There's a Crowe God takes us to new lows, waffles along with ridiculous prose, but he isn't alone, most of this makes you moan, you're relieved when it gets to the close.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
19,8 September 2022,info-90701,3," Really? The longer you watch it, the worse it gets
","It is hard to understand how they can so thoroughly mess up a proven franchise, but apparently it is easy to do. The Matrix franchise has done it, and this one has done it. It is sad really.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
20,13 July 2022,paularjyarishi,1," Empty. Annoying.
","String of jokes and gags. Bland fight sequences. Hollow characters. Candypop colours and bling. Lazy, formulaic BGM. Pointless, absolutely unnecessary. When did Marvel become a spoof of its own material? Even The Powerpuff Girls had more sincerity than Love and Thunder. Waited for two hours to feel SOMETHING. All I felt was a headache and a pair of tired eyes.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
21,8 July 2022,akashdeb-94800,1," They destroyed Thor
","I never wrote negative review, but now it deserves it. I didn't give doctor strange 2 negative review as that was more worst than this, just for a hope Thor 4 will be good. But as doctor strange Thor character also destroyed.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
22,6 May 2023,drumskostas,1," What a joke...
",What the hell did I just watch....,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
23,7 July 2022,daisukereds,4," Expectations are a terrible thing..
","..and yet, this is all so very familiar.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
24,6 July 2022,jtindahouse,7," A light-hearted and fun watch
","I sometimes feel like Taika Waititi is wasting his talents making MCU movies when he could be making great original content. But then he does make pretty good MCU movies, so maybe it would be a shame to miss out on those. 'Thor: Love and Thunder' wasn't quite as good as 'Thor: Ragnarok' for me, but it was still a decent watch.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
25,11 July 2022,seige-hound,7," Fun but unfocussed
","Thor Love and Thunder is two movies. The first movie is another Thor Ragnarok, a goofy Taika Waititi comedy with lots of improv and silliness. The other is a dark and gritty story about Gorr's grief for his lost child, and how it parallels Thor's grief for the impending loss of Jane.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
26,8 July 2022,Hopedoesnotdie,1," Boring and unfunny traded tickets for Black Phone
","Wow as a HUGE! Marvel fan I'm shocked at how bad this was. So many cliché jokes, no character development, and Chris Hemsworth is no longer an actor in my opinion but a Disney prop just generating revenue with the same old schtick. I personally think Disney buys reviews because how these disasters just debut with higher rating and falter when us fans speak our mind is shocking. Only good thing was I was able to go see Back Phone after 80 mins of this crap and actually found a movie I really enjoyed that I normally wouldn't have seen. Way better filmmaking and acting. The jokes in this Thor aren't even funny, it's like they try to get the audience to laugh with them but we end up laughing at them. Films don't care about good storytelling anymore, they want to be ""politically correct"" and enlighten us with how they want us to think. All hogwash. Save your money. Disney is 3rd rate.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
27,9 July 2022,frommeltstephanie,7," Marvel is Losing its Mojo -But Still Has Moments of Fun
","While not the worst Marvel film, it is certainly not worthy of high praise. Ragnarok was a masterpiece but Taika falls incredibly short of expectations for a bar that was set high in the beginning phases of the MCU. I didn't hate this movie, but I didn't love it, and that is a trend with some of their recent offerings. I'm on the fence about a rating of 7, but my favorite MCU movies are in the 8-10 range.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
28,10 September 2022,DunkelheitVZ,1," This is my very first 1 rating in over 1000 ratings
","If something is ""not so good"", that means it is forgettable, might be enjoyable for one view, but overall in 6 months, I will have forgotten I watched that movie.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
29,31 May 2023,duggies70,2," So Everyone's a god now?
",I loved the start. The back story of Gorr was wonderful. I never liked or cared about the movie version of Jane Foster. This did nothing to change that. Making her the principal character left me with little hope this movie would please me.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
30,10 September 2022,filmtravel101,1," Horrible stupid silly script - pathetic Thor
",I'm a big fan of Thor and love the prior films but this disaster of a script by Taika is simply pathetic.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
31,6 July 2022,ladyliliroche,2," Entertaining but could have been better
","Maybe I did hype myself too much but since it is coming from Ragnarok and Taika Waititi, I have high expectation for this movie.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
32,7 July 2022,namob-43673,2," Better than I thought but still one of the worst superhero movies of all time
",I had very low exceptions. Seeing how they dumbed down Thor and made him into a slapstick joke I did not even want to see this movie. So when I say this was better than I thought I mean I thought this would be a -10/10 movie and be so horrible I would not be able to finish it without falling into a radioactive vodka-chamber. So the good news is that this is not THAT bad... The bad news is that this is still absolutely terrible.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
33,6 July 2022,andrewchristianjr,8," COMEDIC FORCE!
",One of the most enjoyable MCU romps in a while. I had a good time throughout the film. There is a lot of fun stuff. Waititi is a great directorial and comedy force. But would it make any real difference to the future of the MCU if this film didn't exist? No. Not really.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
34,8 July 2022,dyingrepublicofpanama,2," Hot. Steaming. Pile of garbage.
",Ah dear.a complete eyesore earsore gutsore.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
35,6 July 2022,gavinp9,8," Another enjoyable MCU action/comedy
","'Thor: Love and Thunder' (or Thor 4) is a bridge between 'Avengers: Endgame' and 'Guardians of the Galaxy Vol 3' and is not really linked to any of the other recent MCU films/TV shows, but it does a really good job of building on 'Thor: Ragnarok' and the spirit of that film, including making Valkyrie (Thompson) and Korg (Waititi) the two main sidekicks of Thor (Hemsworth, who both ground him and add humour.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
36,24 August 2022,r96sk,7," A good watch
","As usual for the MCU, 'Thor: Love and Thunder' is a good watch. I did want more from it, though.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
37,9 July 2022,frankiesilver-91836,6," A hilarious but tonally odd movie that feels like a parody rather than a canon entry.
","After the overly-hyped and mostly disappointing Multiverse of Madness, I tampered my expectations for Love and Thunder despite it being a direct sequel to one of my favorite Marvel movies. I was right to do so.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
38,6 July 2022,alexglimbergwindh,1," Batman & Robin.....
",If I want to watch a silly super hero movie I'll watch batman and Robin. That's enough.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
39,7 July 2022,chaudharysaab13,7," Thor: God or Jester...!!!
","A good movie, but too many jokes left me a bit distasteful. I couldn't comprehend the need of too much comic tone of the movie. A God should be treated with some respect and seriousness. Marvel should strike a balance between yin and yang....!!!",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
40,7 July 2022,rghvvikas,4," Either I am growing older Or MCU is becoming more Childish
","It's surely a disappointing one from Marvel, After a disastrous Ms Marvel show i expected something concrete from Marvel. The Movie is full of comic punches even at the more intense scenes. Christian Bale did a fantastic job at God Butcher but there is just not enough of him for my appetite. Gorr fails to represent himself a Threat at any level to Thor or any other god because we don't get to see the depth of character. The movie feels to be very rushed, it was like watching 4 mini episodes of a single series. The climax was just way more obvious. The Only saving grace I think was of Mighty Thor Arc which was executed beautifully otherwise it was all just a filler for phase five MCU.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
41,7 July 2022,kshitijbhaware,7," Not So hyped
",I was not hyped for this movie because I didn't liked the trailer itself. This movie didn't gave me goosebumps like ragnarok. It was not that good but ok. I didn't expected much from this film. Villain was not much impactful like it was in Thor ragnarok. It was ok according to me. Depends upon you to watch it or not.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
42,6 July 2022,MiroslavKyuranov,7," A Heartfelt Superhero Jam / Summon The Thunders!
","Taika has managed to balance humor, emotion and action in a way that must be experienced in order to be described. The story is more than interesting. Once again, Waititi points us in a certain direction, and just when you think you know what's going to happen, he turns our heads. If you liked ""Ragnarok"" you'll like this one too, if not...well probably this movie will not be your cup of tea.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
43,7 July 2022,sk-mckenzie,2," Unremarkable - Why cast Bale and not use him more
",Really unremarkable content from Marvel continuing a trend lately of no real story just mashing characters to have scenes for laughs or to have someone's favorite character have their few minutes of screen time. Not sure where this is going and how their current model is going to work if these films keep getting to a billion and Disney execs get what they want. Its going to take fans saying enough and voting with their pocketbook along with shareholders saying we invested in you to do great storytelling not just churn content and merchandise. And no apology for the cynical comments. It's clearly them banking not getting great writers.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
44,8 July 2022,zzzxxxcccvvv-43202,1," Please stop
","Please just stop. The MCU at this point is a dumpster fire. Same exact problem as Doctor Strange. The movie is 2 hours of nonsense, no stakes, everything is a joke, all the characters are annoying and unlikeable. I would rather watch the worst anime on earth than this garbage.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
45,21 July 2022,mrglenngrant,7," Just trying a bit too hard.
","This is a hard film to review cos as a Marvel fanboy I enjoyed the story and seeing one of my very favourite characters again ... and also getting Jane as The Mighty Thor - and not thru some multiverse trickery, as I suspected.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
46,7 July 2022,MrDHWong,8," A solid adventure that both satisfies and saddens
","""Thor: Love and Thunder"" is the 29th film in the Marvel Cinematic Universe and the fourth solo film to focus around the Marvel superhero Thor. Directed and co-written by Taika Waititi (""Thor: Ragnarok"", ""Jojo Rabbit"") and again starring Chris Hemsworth in the lead role, it continues the God of Thunder's journey throughout the universe in a solid adventure that both satisfies and saddens.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
47,7 July 2022,philthegreatone-786-63058,8," Thor Love and Thunder
",Thor with help from Valkyrie played by the great Tessa Thompson and his ex Jane Foster played by Natalie Portman. They have to take on Gorr the Butcher played by Christian Bale. This film is visually stunning with some really funny typical Waititi humor.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
